epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9738,3.37522,6.26882,4.02709,0.00099,0.22084,0.00592,0.00128,3.14674,4.75636,3.98163,0.000368627,0.000368627,0.000368627
2,101.981,3.07878,4.84135,3.63326,0.00019,0.06275,0.00023,6e-05,3.54614,5.2818,3.83407,0.000736521,0.000736521,0.000736521
3,152.007,2.86287,4.43407,3.38493,0.00086,0.23141,0.0012,0.00032,2.88493,4.54237,3.38617,0.00110197,0.00110197,0.00110197
4,201.724,2.7107,4.34421,3.16643,0.00078,0.24176,0.00294,0.00069,2.76033,4.29821,3.32182,0.0011,0.0011,0.0011
5,252.203,2.61858,4.20533,3.06157,0.00067,0.20349,0.00115,0.00035,2.71575,6.7808,3.16891,0.00109633,0.00109633,0.00109633
6,301.906,2.53159,4.10341,2.98795,0.00107,0.30367,0.00394,0.00119,2.54886,4.13435,3.09404,0.00109267,0.00109267,0.00109267
7,351.587,2.45509,4.06303,2.9079,0.00098,0.26333,0.00373,0.00102,2.67434,4.08882,3.5137,0.001089,0.001089,0.001089
8,401.232,2.41095,3.94322,2.8529,0.00115,0.27486,0.00417,0.00126,2.55176,3.87468,3.19501,0.00108534,0.00108534,0.00108534
9,450.985,2.40788,3.93512,2.84744,0.0028,0.32213,0.00512,0.00161,2.4373,3.78064,3.01502,0.00108167,0.00108167,0.00108167
10,500.743,2.38618,3.89485,2.79442,0.00163,0.29394,0.00263,0.00067,2.72864,3.90007,3.18264,0.001078,0.001078,0.001078
11,550.319,2.35091,3.83645,2.76272,0.00222,0.34121,0.00304,0.00074,2.41818,4.21548,3.02407,0.00107434,0.00107434,0.00107434
12,599.776,2.33559,3.82017,2.73651,0.00272,0.326,0.01049,0.00289,2.36857,3.71802,2.95328,0.00107067,0.00107067,0.00107067
13,649.477,2.27803,3.78665,2.69785,0.00137,0.31692,0.0032,0.00094,2.53523,4.34452,3.10957,0.001067,0.001067,0.001067
14,699.147,2.30113,3.74134,2.70458,0.00269,0.3614,0.00708,0.00215,2.27507,3.74476,2.84266,0.00106334,0.00106334,0.00106334
15,748.87,2.2767,3.7621,2.70337,0.20481,0.14827,0.00583,0.00188,2.36669,4.28062,2.98679,0.00105967,0.00105967,0.00105967
16,798.383,2.27099,3.76193,2.71662,0.00228,0.4716,0.0095,0.00268,2.30664,3.82955,2.90303,0.00105601,0.00105601,0.00105601
17,847.98,2.22757,3.68719,2.64104,0.00215,0.37019,0.01008,0.00266,2.36582,3.71558,2.8855,0.00105234,0.00105234,0.00105234
18,897.614,2.2182,3.63134,2.61986,0.00276,0.31298,0.01877,0.00685,2.33985,3.72191,2.92937,0.00104867,0.00104867,0.00104867
19,947.186,2.23797,3.62342,2.62343,0.00443,0.48421,0.01627,0.00423,2.34144,3.67051,2.8807,0.00104501,0.00104501,0.00104501
20,996.84,2.17749,3.59987,2.59205,0.41177,0.1087,0.01621,0.00485,2.30597,3.7352,2.93258,0.00104134,0.00104134,0.00104134
21,1046.49,2.21502,3.61056,2.62309,0.41981,0.1037,0.01573,0.0043,2.29967,3.60439,2.86887,0.00103767,0.00103767,0.00103767
22,1096.12,2.18432,3.60579,2.583,0.00416,0.56292,0.02034,0.00609,2.25877,3.60098,2.87065,0.00103401,0.00103401,0.00103401
23,1145.73,2.2025,3.5505,2.58053,0.00293,0.58303,0.02052,0.00549,2.32881,3.66137,2.95874,0.00103034,0.00103034,0.00103034
24,1195.55,2.21829,3.59559,2.58163,0.00648,0.49992,0.03108,0.00819,2.27708,3.66375,2.85382,0.00102668,0.00102668,0.00102668
25,1245.35,2.18892,3.5162,2.58251,0.0341,0.22717,0.02774,0.00816,2.30448,3.53168,2.89378,0.00102301,0.00102301,0.00102301
26,1294.98,2.19541,3.54866,2.57022,0.62864,0.108,0.03005,0.00887,2.20805,3.53141,2.80997,0.00101934,0.00101934,0.00101934
27,1344.71,2.14815,3.51037,2.57392,0.6426,0.129,0.0472,0.01055,2.21054,3.62387,2.78834,0.00101568,0.00101568,0.00101568
28,1394.61,2.16656,3.48486,2.56162,0.0049,0.58741,0.04327,0.01165,2.3327,3.47532,2.91166,0.00101201,0.00101201,0.00101201
29,1444.42,2.15676,3.46376,2.52246,0.01705,0.4344,0.05311,0.01291,2.31617,3.49737,2.86134,0.00100834,0.00100834,0.00100834
30,1494.12,2.14694,3.47989,2.55054,0.00588,0.62089,0.03591,0.01069,2.1852,3.47831,2.82387,0.00100468,0.00100468,0.00100468
31,1543.78,2.16253,3.46176,2.53334,0.64108,0.14733,0.05281,0.01524,2.24893,3.39548,2.90911,0.00100101,0.00100101,0.00100101
32,1593.53,2.15339,3.45648,2.51537,0.66158,0.109,0.05638,0.01408,2.25011,3.50487,2.85044,0.000997345,0.000997345,0.000997345
33,1643.23,2.12849,3.4743,2.55379,0.24592,0.21789,0.06753,0.01443,2.34005,3.4974,2.84759,0.000993678,0.000993678,0.000993678
34,1692.91,2.16576,3.44965,2.53367,0.63242,0.058,0.08509,0.02067,2.26422,3.41762,2.83645,0.000990012,0.000990012,0.000990012
35,1742.72,2.11723,3.46367,2.52758,0.64403,0.12267,0.04319,0.01236,2.35299,3.54801,3.08646,0.000986346,0.000986346,0.000986346
36,1792.36,2.11089,3.4206,2.51934,0.66362,0.13256,0.06102,0.01849,2.22685,3.34878,2.8976,0.000982679,0.000982679,0.000982679
37,1842.06,2.13912,3.40667,2.51853,0.65997,0.09233,0.05184,0.01282,2.28938,3.39061,2.85527,0.000979013,0.000979013,0.000979013
38,1891.82,2.16289,3.45162,2.54183,0.64494,0.126,0.05078,0.0136,2.2991,3.56687,2.85095,0.000975347,0.000975347,0.000975347
39,1941.45,2.09994,3.36726,2.49595,0.43361,0.09567,0.04586,0.01104,2.31856,3.51551,2.92717,0.000971681,0.000971681,0.000971681
40,1991.17,2.11057,3.39866,2.51342,0.46734,0.11667,0.06349,0.01733,2.23848,3.39128,2.85862,0.000968014,0.000968014,0.000968014
41,2040.82,2.12466,3.36983,2.51449,0.47297,0.07622,0.0549,0.01599,2.29488,3.31714,2.88223,0.000964348,0.000964348,0.000964348
42,2090.36,2.11231,3.3849,2.49047,0.62571,0.069,0.09057,0.02543,2.29272,3.40685,2.88779,0.000960682,0.000960682,0.000960682
43,2140.13,2.12217,3.40248,2.50359,0.57335,0.18944,0.13619,0.03342,2.25297,3.35449,2.80251,0.000957015,0.000957015,0.000957015
44,2189.87,2.13203,3.35235,2.50186,0.45152,0.08933,0.05129,0.01301,2.27272,3.40447,2.86085,0.000953349,0.000953349,0.000953349
45,2239.5,2.10879,3.34571,2.49004,0.46204,0.16267,0.06645,0.01616,2.24847,3.37431,2.85108,0.000949683,0.000949683,0.000949683
46,2289.17,2.09464,3.3281,2.49422,0.65454,0.17867,0.08446,0.02085,2.32368,3.35246,2.93946,0.000946016,0.000946016,0.000946016
47,2338.74,2.11551,3.3532,2.50528,0.29175,0.1648,0.08495,0.02471,2.29402,3.29991,2.86438,0.00094235,0.00094235,0.00094235
48,2388.26,2.09729,3.34354,2.46779,0.51313,0.09795,0.06576,0.01896,2.28358,3.35416,2.85113,0.000938684,0.000938684,0.000938684
49,2437.86,2.07629,3.29834,2.45873,0.49121,0.14511,0.05597,0.01715,2.29901,3.53013,2.90394,0.000935018,0.000935018,0.000935018
50,2487.47,2.10487,3.28868,2.46279,0.38615,0.15144,0.08218,0.02287,2.29679,3.29394,2.8597,0.000931351,0.000931351,0.000931351
51,2537.16,2.09825,3.27244,2.47429,0.64055,0.08808,0.07746,0.02251,2.3298,3.23089,2.8997,0.000927685,0.000927685,0.000927685
52,2586.74,2.09848,3.2796,2.46491,0.53004,0.14407,0.11974,0.03909,2.23128,3.28114,2.86791,0.000924019,0.000924019,0.000924019
53,2636.66,2.10001,3.27272,2.48073,0.44656,0.13933,0.08293,0.02411,2.38115,3.40228,2.90403,0.000920352,0.000920352,0.000920352
54,2686.26,2.0931,3.2588,2.48366,0.23218,0.12392,0.09264,0.02593,2.21818,3.35699,2.81507,0.000916686,0.000916686,0.000916686
55,2736.05,2.11041,3.2795,2.46934,0.47515,0.151,0.08692,0.02296,2.25778,3.34186,2.84315,0.00091302,0.00091302,0.00091302
56,2785.64,2.11145,3.27263,2.46645,0.34088,0.18978,0.11063,0.03237,2.23652,3.24963,2.81736,0.000909353,0.000909353,0.000909353
57,2835.3,2.0802,3.23281,2.46635,0.49966,0.1384,0.09725,0.02654,2.34207,3.15835,2.85821,0.000905687,0.000905687,0.000905687
58,2884.9,2.07532,3.24625,2.44043,0.49686,0.16109,0.11136,0.0338,2.2487,3.24376,2.89502,0.000902021,0.000902021,0.000902021
59,2934.36,2.07987,3.24513,2.44345,0.66818,0.13833,0.11638,0.03697,2.2783,3.32029,2.83666,0.000898355,0.000898355,0.000898355
60,2983.87,2.06399,3.21013,2.44025,0.5306,0.11554,0.1512,0.04086,2.27126,3.27036,2.8361,0.000894688,0.000894688,0.000894688
61,3033.38,2.06299,3.19919,2.4167,0.37706,0.21447,0.10057,0.03274,2.22638,3.28744,2.80824,0.000891022,0.000891022,0.000891022
62,3083.04,2.04088,3.19908,2.46794,0.08027,0.14578,0.09716,0.02784,2.29221,3.1779,2.86011,0.000887356,0.000887356,0.000887356
63,3132.58,2.06247,3.22007,2.45524,0.18865,0.1803,0.14673,0.04052,2.2751,3.326,2.85589,0.000883689,0.000883689,0.000883689
64,3182.25,2.05525,3.20539,2.43917,0.27599,0.18826,0.12697,0.03368,2.28095,3.17623,2.85556,0.000880023,0.000880023,0.000880023
65,3232.16,2.03749,3.18161,2.42418,0.34467,0.16717,0.14688,0.03719,2.22143,3.15744,2.80722,0.000876357,0.000876357,0.000876357
66,3281.78,2.02442,3.16299,2.39871,0.17701,0.1719,0.10182,0.03362,2.26423,3.20765,2.83696,0.000872691,0.000872691,0.000872691
